Q25929540$cf03ff7b-4016-91c7-2a47-9d9db5a61302,Q101352,1,,,,,,,,
q7027772$E58791A6-D44D-4CF6-8DA7-D4D7672BA20D,nm0706456,1,,,,,,,,
Q21307591$A7028595-CC11-4589-87DB-504A98C756FF,https://npgsweb.ars-grin.gov/gringlobal/taxonomydetail.aspx?id=40144,0.118323952,http://www.ars-grin.gov/cgi-bin/npgs/html/taxon.pl?40144,0.881676048,,,,,,
Q9156322$773F1691-9D16-4F82-B877-48BE54120A84,Q6581097,1,,,,,,,,
q3451083$B75095D2-4A91-4D88-856E-166F09B6ACC8,Q79007,1,,,,,,,,
Q9145275$F6474C5B-4FF8-4374-814C-AD7DB2990B68,Q5,1,,,,,,,,
Q202703$EA19DAB2-3605-4561-AFB2-0B16D70655BC,35797851,1,,,,,,,,
Q453485$57894382-46b2-2c03-71eb-28e6d94896df,Q647934,1,,,,,,,,
Q468413$325f33a0-4cf6-86e5-0681-b8bc2cecb439,Q1235492,1,,,,,,,,
Q12345779$3b6e0c92-486f-2607-26c0-bf885ef15c0d,Q1930187,1,,,,,,,,
q3447613$9E05F020-9634-44E5-AC42-7D5F176B8291,Q90,1,,,,,,,,
Q12316550$ce9b413f-45a6-7951-2238-a966a6b3d378,http://www.herfoelge-privatskole.dk,1,,,,,,,,
Q3448187$1D837A79-C6AC-47B6-8D1E-FCF91BDB819B,Q3447643,1,,,,,,,,
Q432776$8E58D653-C286-4A5A-ACE0-B3E88A34FCA8,/m/02qkm5g,1,,,,,,,,
Q16407160$D0AAEB88-C04D-4B2D-8786-BDE42D127A20,"Pere, Katrin.IMG 0676.JPG",1,,,,,,,,
Q3357439$83931BBC-D8D1-4961-8DBE-BD78C87C8057,"('57.0481', '9.91803')",1,,,,,,,,
Q1326391$8e0184bf-4dd7-7c52-dd55-ca26756f38f3,Banegårdspladsen 1,1,,,,,,,,
q3449141$1BE33EE7-1B42-47E3-8389-3E31BDA6E696,Q191066,1,,,,,,,,
Q6466980$276a02ee-4588-3819-3a21-d064f75efd18,"Baravaja, Babrujsk District",1,,,,,,,,
Q5981161$a6930051-40fe-a2e2-bd3d-ffc63a8aa8dc,Q1277697,1,,,,,,,,
Q12340933$D0E3EEC1-8535-4302-BEB8-3B73822B4B0F,+00000001890-02-25T00:00:00Z,0.934829658,+1890-02-25T00:00:00Z,0.065170342,,,,,,
Q6969334$A6154A6D-9B82-42EC-8E9E-A3F42F1E2D45,141362088,1,,,,,,,,
q287851$AA51545B-1244-40E8-8482-5A21F56556DD,Akademisk Boldklub,1,,,,,,,,
Q3450289$CDDE0CC2-BB3E-43B5-9EDE-BC2554A5160F,Q2921835,1,,,,,,,,
Q3449455$E8261261-9A19-4214-A72F-648C4DA836AB,Q3450919,1,,,,,,,,
Q9353993$b3fe62e9-4555-d86f-1350-2bf9014861c6,Q26212642,1,,,,,,,,
q4876457$93F3C3AF-05C5-48DE-812E-D1B1AE5BF1D4,Q30,1,,,,,,,,
q171632$F2CEF86C-0E76-4595-9896-9E821878E689,ESC-V-Maracaibo.svg,0.077574562,Escudo del Municipio Maracaibo.png,0.922425438,,,,,,
Q605534$FDC20C34-E813-4B1B-B051-5C35A318D79F,OL3451162A,1,,,,,,,,
Q9353992$59a2cc2b-40bf-0113-65fd-2b266ee6a069,Q18009416,1,,,,,,,,
Q12332750$059882d2-44f6-5507-65e6-7c8d65d8aaf3,15112999,1,,,,,,,,
Q12340892$4c78612a-4aa8-13a0-d91e-35c4cef2fbe3,8800 Viborg,1,,,,,,,,
Q3920413$0c0c0c29-45d4-9097-a3a3-c090e920d4b0,Q36180,1,,,,,,,,
Q3372237$8BC718F3-CD57-4258-86C4-F1C6DD92C978,Q150,1,,,,,,,,
Q1434077$3dbdd69b-44ff-9ba8-0f57-a11f6f1955fd,30279441,1,,,,,,,,
Q975989$3091FCFD-7930-4ABB-81FC-25D516D457F0,Q41466,1,,,,,,,,
Q3447613$0C92040D-6574-457B-AB0A-F82AD374606B,"('48.884', '2.32482')",1,,,,,,,,
Q3448002$7D529175-5951-4F7D-B1FA-B79E3ED0FFE3,Q3452217,1,,,,,,,,
Q376342$2c0064e0-48f6-c71d-9633-dde97d71b8ce,Q3099099,1,,,,,,,,
q14272053$a7242463-4020-dd53-4be3-24f93e87e516,Q2280,0.234986481,Q288365,0.765013519,,,,,,
Q3448238$39CA2F87-8C06-4900-9503-C23C9B9D9013,"{u'amount': u'+20', u'lowerBound': u'+20', u'upperBound': u'+20', u'unit': u'http://www.wikidata.org/entity/Q11573'}",1,,,,,,,,
Q382107$06549510-B82C-4406-A56B-2997DD565A98,35688434,1,,,,,,,,
Q16145834$B9A19C91-1160-484D-B7EB-F41BAE2F544D,Q6581072,1,,,,,,,,
Q7062253$2b414128-4702-3269-4a58-9851e67e32e0,OKBP4089(1).tif,9.80E-04,Kvickly flag ved brøndbyøster torv.JPG,0.791157018,Coop headquarter in Albertslund - main entrance (2016).tiff,0.207863311,,,,
Q21042488$657E644D-2D29-4013-B155-967DEFB0A7C5,Q804,1,,,,,,,,
Q22048217$d2f685af-4eeb-6148-807e-8658c411dd89,Q3621354,1,,,,,,,,
Q3448566$2AE38ABE-2B93-436C-8FB1-45B723339BAA,Q3450772,1,,,,,,,,
Q3447762$175442f2-4b46-4b79-ed21-a5a14ea59439,Q3081178,1,,,,,,,,
Q12330395$84ece143-441c-fecc-f84e-4290657fdc7d,Q48204,1,,,,,,,,
Q376342$BF04961F-2BF7-4522-A5E4-A2FC4CB451C2,Etienne Mélingue par Gill.jpg,0.012224743,Etienne_Mélingue_par_Gill.jpg,0.987775257,,,,,,
Q16250688$43794828-8567-440D-B47C-29D88FCAB91C,Q19591174,1,,,,,,,,
Q25343244$204c94d9-42bb-7d70-1129-dc7b770d231d,Q101352,1,,,,,,,,
q6328010$4487DA7A-3964-45CC-BCDE-E9D899F2AE98,Q14350,1,,,,,,,,
Q20977978$f2ea0682-410a-1146-d3d1-eddf0bbbdb8a,Q1321,1,,,,,,,,
Q16302148$3691D51E-AF8D-4770-BADF-441B7F9C5CD8,"('8.98472', '-82.2333')",1,,,,,,,,
Q12334990$17197049-45ee-323d-e2b4-a68eec8a2b55,Q26234,1,,,,,,,,
Q120993$ED379982-82D2-4347-9B85-80B49EA3A5FC,OL133004A,1,,,,,,,,
Q947901$6ADDA9A1-611A-4954-8B79-1BF0F63E90B3,12211,1,,,,,,,,
Q3452151$30C18717-9218-4B41-94CF-F2836A87A639,Q3449854,1,,,,,,,,
Q449513$D5419902-83DA-4C87-BB9D-0A943D3256BC,120855,1,,,,,,,,
Q820588$903A6213-D0AD-4363-B368-67D4A84072B7,Q300856,1,,,,,,,,
Q679083$aa22f707-4e10-ff6e-29bf-4324992e8a67,Q26298875,1,,,,,,,,
q3450970$D7AAD13E-D9EC-449C-B7AB-96E647082167,Q90,1,,,,,,,,
q7965573$9D1FFDB1-10C2-461F-B894-CC30938F6775,Q215627,1,,,,,,,,
Q3448142$B3DAE356-0F2A-491E-AFC0-BCC762B35300,"{u'amount': u'+67.5', u'lowerBound': u'+67.5', u'upperBound': u'+67.5', u'unit': u'http://www.wikidata.org/entity/Q11573'}",1,,,,,,,,
Q179680$CAFF972D-AD6C-45EC-B2E9-F884FD7AB911,604386,1,,,,,,,,
Q3450355$42892D9A-4FD8-471A-9842-5700241AD813,Q2921979,1,,,,,,,,
Q706171$98ae6522-4ea9-d948-4d7b-28a1907fdbbf,+1730-02-00T00:00:00Z,1,,,,,,,,
Q6265426$9811EF02-A727-4036-AE80-9C5F7194A19C,Q4167836,1,,,,,,,,
Q3449653$8B69C7E9-0AD1-4BFE-A28F-D6D17AF21A21,"{u'amount': u'+10', u'lowerBound': u'+10', u'upperBound': u'+10', u'unit': u'http://www.wikidata.org/entity/Q11573'}",1,,,,,,,,
Q947901$a219b601-41c7-d910-0cba-dbec104ce0d5,Q219825,1,,,,,,,,
Q12308196$43F70D80-A2CD-4E00-B29D-4F17CA5EC287,Q35,1,,,,,,,,
Q4074492$61a087b6-4012-5a45-5779-cd04e2e743b0,Q1569495,1,,,,,,,,
Q3449001$eab516be-40f7-87ba-95aa-f63e8430aedd,Q236566,1,,,,,,,,
Q10466694$365df8bf-4263-6015-5286-d61ec6f8548d,Q500076,1,,,,,,,,
Q3449274$34C29CAB-5AE2-4936-9181-467B51CF3B77,Q3452488,1,,,,,,,,
Q1772895$fcf99526-4867-6c18-5830-297309c608c7,2--728774,1,,,,,,,,
Q18623814$082AE9C3-BB59-47DA-A4A6-193E3FE474BD,Q502962,1,,,,,,,,
Q3448753$5AC3FA13-B201-4BD3-9B22-98C2A6E26996,"{u'amount': u'+4', u'lowerBound': u'+4', u'upperBound': u'+4', u'unit': u'http://www.wikidata.org/entity/Q11573'}",1,,,,,,,,
Q3449091$3E88DDAB-18A0-45E8-A168-829D90415724,"('48.8598', '2.27254')",1,,,,,,,,
Q314975$ADE569D7-2197-499D-AC9E-2F735EF5BC44,2305529,1,,,,,,,,
Q12361755$6816B251-1E5F-4576-A12C-C6327AB8BB01,Q33999,1,,,,,,,,
q9287404$07e39d6a-4c2e-b5d3-5c01-875232a8962a,Q13027937,1,,,,,,,,
Q21042446$c7f12832-46e1-5733-33d0-841deb655166,Q3685463,1,,,,,,,,
Q11723344$455f9293-42f9-479e-8c9a-a22a9b6fcc84,Q15180,1,,,,,,,,
Q3449136$44BA25D8-3C70-4820-ADE0-40E39353B30C,"{u'amount': u'+137', u'lowerBound': u'+137', u'upperBound': u'+137', u'unit': u'http://www.wikidata.org/entity/Q11573'}",1,,,,,,,,
Q3059657$646FC842-A21B-4A3E-BE98-9F5C90D1EBE8,500054908,1,,,,,,,,
Q3452454$135419C1-95B3-4F5D-8634-DB12C3184EAB,Q142,1,,,,,,,,
Q25461504$2415795d-4968-65a9-dad3-34c300fb7f39,Q101352,1,,,,,,,,
Q14884345$9D7D182C-EF40-46EF-A78B-2AC6D8C58B87,1042261,1,,,,,,,,
Q12307250$3b6600ae-41bc-5459-37ff-ac017b25ccea,16064696,1,,,,,,,,
q3463445$E94A977F-08FA-4159-9D3F-A78583FCED50,Q191,1,,,,,,,,
Q3450513$9C460A68-1392-4BE4-B89C-592A757489F9,Q2581778,1,,,,,,,,
q7587798$07710332-1354-4D00-8FC1-F660DDB5F579,Q1384,1,,,,,,,,
